Genotype,Bacteria_Firmicutes_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium,Bacteria_Firmicutes_Negativicutes_Veillonellales.Selenomonadales_Veillonellaceae_Dialister,Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae_Holdemanella,Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium,Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG.002,Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium,Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum,Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas,Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter
282set_A619,115,62,73,0.666666667,95,2.333333333,28.33333333,19.66666667,103.6666667
282set_A635,36,46.33333333,50,1,35,1.333333333,20.66666667,21.66666667,65.66666667
282set_A680,27.66666667,34,49.66666667,0.666666667,30.66666667,1.333333333,12,18.66666667,59.33333333
AMES-21969,19,40.66666667,48,0.333333333,28,0.666666667,6.666666667,20.66666667,20.66666667
AMES-8235,23.66666667,30,21.33333333,0.666666667,20.66666667,0.666666667,7.666666667,12.33333333,37
Ames-21785,85,167.6666667,56.66666667,0,52,0.666666667,21.66666667,41.66666667,224
Ames-21787,222.6666667,79,46,0,48,1.666666667,13.66666667,23,131
Ames-21789,153,64,76.66666667,0.333333333,139,0.333333333,24.33333333,50.33333333,213.3333333
Ames-21790,112.6666667,92,67.33333333,0.333333333,109.3333333,3.333333333,21,49,124
Ames-21793,164.3333333,229.3333333,50,0,53.66666667,0.333333333,18.33333333,28.66666667,155
Ames-21796,65.66666667,174.6666667,59.66666667,1.666666667,88.66666667,1.333333333,17.33333333,44.66666667,176.6666667
Ames-21797,199.6666667,265.3333333,81.66666667,0.666666667,82,1.666666667,17.33333333,44.66666667,240
Ames-21799,177,169,59,0.666666667,131,0.333333333,25.33333333,67,200.6666667
Ames-21800,75.66666667,137,39.33333333,0,60,1,13,36.33333333,108.6666667
Ames-21801,97.66666667,211.6666667,60.33333333,0.666666667,81,0.666666667,23.66666667,49.33333333,209.6666667
Ames-21802,69.33333333,70.33333333,50,0.333333333,46,0.666666667,10.66666667,35.33333333,122.3333333
Ames-21803,159,174.6666667,50.66666667,1,111.6666667,1,20.33333333,35.66666667,182.3333333
Ames-21809,59.33333333,65.33333333,56.66666667,0.333333333,48.33333333,0.333333333,14.33333333,40.33333333,90.66666667
Ames-21826,126.5,77,62,0.5,81.5,1,24,58,153
Ames-21828,110.3333333,169.6666667,52,1.333333333,67.33333333,3,13.33333333,32.66666667,127.3333333
Ames-21829,357,279.3333333,73.66666667,0.666666667,87.66666667,2.333333333,23.33333333,43,203.6666667
Ames-21830,120.3333333,81.33333333,45.66666667,1.666666667,55.33333333,1,14.66666667,22.66666667,148.6666667
