Number,sample,fq1,fq2,Subject,Abbrv,reps,,Lines,Genotype/Accesion IDs,Source,Category
1,S9-FBB0-1,S9-FBB0-1_L001_R1_001.fastq.gz,S9-FBB0-1_L001_R2_001.fastq.gz,S9,FBB0,1,,,,,FBB0
2,S9-FBB0-2,S9-FBB0-2_L001_R1_001.fastq.gz,S9-FBB0-2_L001_R2_001.fastq.gz,S9,FBB0,2,,,,,FBB0
3,S9-FBB0-3,S9-FBB0-3_L001_R1_001.fastq.gz,S9-FBB0-3_L001_R2_001.fastq.gz,S9,FBB0,3,,,,,FBB0
4,S9-FBB16-1,S9-FBB16-1_L001_R1_001.fastq.gz,S9-FBB16-1_L001_R2_001.fastq.gz,S9,FBB16,1,,,,,FBB16
5,S9-FBB16-2,S9-FBB16-2_L001_R1_001.fastq.gz,S9-FBB16-2_L001_R2_001.fastq.gz,S9,FBB16,2,,,,,FBB16
6,S9-FBB16-3,S9-FBB16-3_L001_R1_001.fastq.gz,S9-FBB16-3_L001_R2_001.fastq.gz,S9,FBB16,3,,,,,FBB16
7,S9-L27-1,S9-L27-1_L001_R1_001.fastq.gz,S9-L27-1_L001_R2_001.fastq.gz,S9,L27,1,27,LR1,AMES 8235,Xu et al. 2020,Landrace
8,S9-L27-2,S9-L27-2_L001_R1_001.fastq.gz,S9-L27-2_L001_R2_001.fastq.gz,S9,L27,2,27,LR1,AMES 8235,Xu et al. 2020,Landrace
9,S9-L27-3,S9-L27-3_L001_R1_001.fastq.gz,S9-L27-3_L001_R2_001.fastq.gz,S9,L27,3,27,LR1,AMES 8235,Xu et al. 2020,Landrace
10,S9-L28-1,S9-L28-1_L001_R1_001.fastq.gz,S9-L28-1_L001_R2_001.fastq.gz,S9,L28,1,28,LR17,AMES 21969,NA,Landrace
11,S9-L28-2,S9-L28-2_L001_R1_001.fastq.gz,S9-L28-2_L001_R2_001.fastq.gz,S9,L28,2,28,LR17,AMES 21969,NA,Landrace
12,S9-L28-3,S9-L28-3_L001_R1_001.fastq.gz,S9-L28-3_L001_R2_001.fastq.gz,S9,L28,3,28,LR17,AMES 21969,NA,Landrace
13,S9-L29-1,S9-L29-1_L001_R1_001.fastq.gz,S9-L29-1_L001_R2_001.fastq.gz,S9,L29,1,29,LR25,NSL 202125,NA,Landrace
